2580,Economic and Financial Affairs,2004-05-11,2004-05-11,Ivan Mikloš,MF,Deputy Prime Minister and Minister for Finance,SDKÚ-DS,1,Mikuláš Dzurinda 2
2581,General Affairs,2004-05-17,2004-05-17,Eduard Kukan,MFA,Minister for Foreign affairs,SDKÚ,1,Mikuláš Dzurinda 2
2582,External Relations,2004-05-17,2004-05-17,Eduard Kukan,MFA,Minister for Foreign affairs,SDKÚ,1,Mikuláš Dzurinda 2
2582,External Relations,2004-05-17,2004-05-17,Juraj Liška,MD,Minister for Defence,SDKÚ,1,Mikuláš Dzurinda 2
2583,Competitiveness,2004-05-17,2004-05-18,Lászlo Pomothy,ME,"State Secretary, Ministry of the Economy",SMK – MKP,1,Mikuláš Dzurinda 2
2583,Competitiveness,2004-05-17,2004-05-18,Martin Fronc,MEd,Minister for Education,KDH,1,Mikuláš Dzurinda 2
2584,Agriculture and Fisheries,2004-05-24,2004-05-24,Zsolt Simon,MA,Minister for Agriculture,SMK,1,Mikuláš Dzurinda 2
2585,"Education, Youth, Culture and Sport",2004-05-27,2004-05-28,Rudolf Chmel,MC,Minister for Culture,ANO,1,Mikuláš Dzurinda 2
2585,"Education, Youth, Culture and Sport",2004-05-27,2004-05-28,Martin Fronc,MEd,Minister for Education,KDH,1,Mikuláš Dzurinda 2
2586,"Employment, Social Policy, Health and Consumer Affairs",2004-06-01,2004-06-02,Ľudovít Kaník,MLFSA,"Minister for Labour, Social Affairs and the Family",SDKÚ,1,Mikuláš Dzurinda 2
2586,"Employment, Social Policy, Health and Consumer Affairs",2004-06-01,2004-06-02,Rudolf Zajac,MH,Minister for Health,ANO,1,Mikuláš Dzurinda 2
2587,Economic and Financial Affairs,2004-06-02,2004-06-02,Ivan Mikloš,MF,Deputy Prime Minister and Minister for Finance,SDKÚ-DS,1,Mikuláš Dzurinda 2
2588,Justice and Home Affairs,2004-06-08,2004-06-08,Daniel Lipšic,MJ,Deputy Prime Minister and Minister for Justice,KDH,1,Mikuláš Dzurinda 2
2588,Justice and Home Affairs,2004-06-08,2004-06-08,Vladimír Palko,MI,Minister for the Interior,KDH,1,Mikuláš Dzurinda 2
2589,"Transport, Telecommunications and Energy",2004-06-10,2004-06-11,Pavol Prokopovič,MTPT,"Minister for Transport, Post and Telecommunications",SDKÚ,1,Mikuláš Dzurinda 2
2589,"Transport, Telecommunications and Energy",2004-06-10,2004-06-11,Pavol Rusko,ME,Deputy Prime Minister and Minister for the Economy,ANO,1,Mikuláš Dzurinda 2
2590,General Affairs,2004-06-14,2004-06-14,Eduard Kukan,MFA,Minister for Foreign affairs,SDKÚ,1,Mikuláš Dzurinda 2
2591,External Relations,2004-06-14,2004-06-14,Eduard Kukan,MFA,Minister for Foreign affairs,SDKÚ,1,Mikuláš Dzurinda 2
2592,Agriculture and Fisheries,2004-06-21,2004-06-21,Marián Radošovský,MA,State Secretary at the Ministry of Agriculture,KDH,0,Mikuláš Dzurinda 2
2593,Environment,2004-06-28,2004-06-28,Lászlo Miklós,MtE,Minister for the Environment,SMK,1,Mikuláš Dzurinda 2
2594,Economic and Financial Affairs,2004-07-05,2004-07-05,Ivan Mikloš,MF,Deputy Prime Minister and Minister for Finance,SDKÚ-DS,1,Mikuláš Dzurinda 2
2595,Heads of State or Government,2004-06-29,2004-06-29,Mikuláš Dzurinda,PM,Prime minister,SDKÚ,1,Mikuláš Dzurinda 2
2596,General Affairs,2004-07-12,2004-07-13,Eduard Kukan,MFA,Minister for Foreign affairs,SDKÚ,1,Mikuláš Dzurinda 2
2597,External Relations,2004-07-12,2004-07-13,Eduard Kukan,MFA,Minister for Foreign affairs,SDKÚ,1,Mikuláš Dzurinda 2
2598,Economic and Financial Affairs,2004-07-16,2004-07-16,Vladimír Tvaroška,MF,State Secretary at the Ministry of Finance,SDKÚ,0,Mikuláš Dzurinda 2
2599,Agriculture and Fisheries,2004-07-19,2004-07-19,Zsolt Simon,MA,Minister for Agriculture,SMK,1,Mikuláš Dzurinda 2
2600,Justice and Home Affairs,2004-07-19,2004-07-19,Daniel Lipšic,MJ,Deputy Prime Minister and Minister for Justice,KDH,1,Mikuláš Dzurinda 2
2600,Justice and Home Affairs,2004-07-19,2004-07-19,Vladimír Palko,MI,Minister for the Interior,KDH,1,Mikuláš Dzurinda 2
2601,External Relations,2004-07-26,2004-07-26,József Berényi,MFA,State Secretary at the Ministry of Foreign Affairs,SMK – MKP,0,Mikuláš Dzurinda 2
2602,General Affairs,2004-07-26,2004-07-26,József Berényi,MFA,State Secretary at the Ministry of Foreign Affairs,SMK – MKP,0,Mikuláš Dzurinda 2
2603,General Affairs,2004-09-13,2004-09-13,Eduard Kukan,MFA,Minister for Foreign affairs,SDKÚ,1,Mikuláš Dzurinda 2
2604,External Relations,2004-09-13,2004-09-13,Eduard Kukan,MFA,Minister for Foreign affairs,SDKÚ,1,Mikuláš Dzurinda 2
2605,Competitiveness,2004-09-24,2004-09-24,Lászlo Pomothy,ME,"State Secretary, Ministry of the Economy",SMK – MKP,0,Mikuláš Dzurinda 2
2605,Competitiveness,2004-09-24,2004-09-24,František Tóth,MEd,State Secretary at the Ministry of Education,ANO,0,Mikuláš Dzurinda 2
2606,"Employment, Social Policy, Health and Consumer Affairs",2004-10-04,2004-10-04,Miroslav Beblavý,MLSAF,"State Secretary at the Ministry of Labour, Social Affairs and the Family",SDKÚ,0,Mikuláš Dzurinda 2
2607,"Transport, Telecommunications and Energy",2004-10-07,2004-10-07,Pavol Prokopovič,MTPT,"Minister for Transport, Post and Telecommunications",SDKÚ,1,Mikuláš Dzurinda 2
2608,General Affairs,2004-10-11,2004-10-11,Eduard Kukan,MFA,Minister for Foreign affairs,SDKÚ,1,Mikuláš Dzurinda 2
2608,General Affairs,2004-10-11,2004-10-11,József Berényi,MFA,State Secretary at the Ministry of Foreign Affairs,SMK – MKP,1,Mikuláš Dzurinda 2
2609,External Relations,2004-10-11,2004-10-11,Eduard Kukan,MFA,Minister for Foreign affairs,SDKÚ,1,Mikuláš Dzurinda 2
2609,External Relations,2004-10-11,2004-10-11,József Berényi,MFA,State Secretary at the Ministry of Foreign Affairs,SMK – MKP,1,Mikuláš Dzurinda 2
2610,Environment,2004-10-14,2004-10-14,Lászlo Miklós,MtE,Minister for the Environment,SMK,1,Mikuláš Dzurinda 2
2611,Agriculture and Fisheries,2004-10-18,2004-10-18,Zsolt Simon,MA,Minister for Agriculture,SMK,1,Mikuláš Dzurinda 2
2612,Economic and Financial Affairs,2004-10-21,2004-10-21,Vladimír Tvaroška,MF,State Secretary at the Ministry of Finance,SDKÚ,0,Mikuláš Dzurinda 2
2613,Justice and Home Affairs,2004-10-25,2004-10-26,Daniel Lipšic,MJ,Deputy Prime Minister and Minister for Justice,KDH,1,Mikuláš Dzurinda 2
2613,Justice and Home Affairs,2004-10-25,2004-10-26,Vladimír Palko,MI,Minister for the Interior,KDH,1,Mikuláš Dzurinda 2
2614,General Affairs,2004-11-02,2004-11-02,Eduard Kukan,MFA,Minister for Foreign affairs,SDKÚ,1,Mikuláš Dzurinda 2
2615,External Relations,2004-11-02,2004-11-02,Eduard Kukan,MFA,Minister for Foreign affairs,SDKÚ,1,Mikuláš Dzurinda 2
2616,"Education, Youth, Culture and Sport",2004-11-15,2004-11-16,Lázlo Szigeti,Med,State Secretary at the Ministry of Education,SMK – MKP,0,Mikuláš Dzurinda 2
2616,"Education, Youth, Culture and Sport",2004-11-15,2004-11-16,Agnes Biró,MC,"State Secretary, Ministry of Culture",SMK – MKP,0,Mikuláš Dzurinda 2
2617,Economic and Financial Affairs,2004-11-16,2004-11-16,Ivan Mikloš,MF,Deputy Prime Minister and Minister for Finance,SDKÚ-DS,1,Mikuláš Dzurinda 2
2618,Justice and Home Affairs,2004-11-19,2004-11-19,Martin Pado,MI,State Secretary at the Ministry of the Interior,SDKÚ,0,Mikuláš Dzurinda 2
2619,Agriculture and Fisheries,2004-11-22,2004-11-23,Zsolt Simon,MA,Minister for Agriculture,SMK,1,Mikuláš Dzurinda 2
2620,Heads of State or Government,2004-11-05,2004-11-05,Mikuláš Dzurinda,PM,Prime minister,SDKÚ,1,Mikuláš Dzurinda 2
2621,General Affairs,2004-11-22,2004-11-22,Eduard Kukan,MFA,Minister for Foreign affairs,SDKÚ,1,Mikuláš Dzurinda 2
2622,External Relations,2004-11-22,2004-11-23,Eduard Kukan,MFA,Minister for Foreign affairs,SDKÚ,1,Mikuláš Dzurinda 2
2622,External Relations,2004-11-22,2004-11-23,József Berényi,MFA,State Secretary at the Ministry of Foreign Affairs,SMK – MKP,1,Mikuláš Dzurinda 2
2623,Economic and Financial Affairs,2004-11-25,2004-11-25,Ivan Mikloš,MF,Deputy Prime Minister and Minister for Finance,SDKÚ-DS,1,Mikuláš Dzurinda 2
2624,"Employment, Social Policy, Health and Consumer Affairs",2004-12-06,2004-12-07,Ján Gajdoš,MH,State Secretary of the Ministry of Health,?,1,Mikuláš Dzurinda 2
2624,"Employment, Social Policy, Health and Consumer Affairs",2004-12-06,2004-12-07,Ľudovít Kaník,MLFSA,"Minister for Labour, Social Affairs and the Family",SDKÚ,1,Mikuláš Dzurinda 2
2625,"Transport, Telecommunications and Energy",2004-11-29,2004-11-29,Lászlo Pomothy,ME,"State Secretary, Ministry of the Economy",SMK – MKP,0,Mikuláš Dzurinda 2
2626,Justice and Home Affairs,2004-12-02,2004-12-02,Daniel Lipšic,MJ,Deputy Prime Minister and Minister for Justice,KDH,1,Mikuláš Dzurinda 2
2627,Justice and Home Affairs,2004-12-03,2004-12-03,data nejsou k dispozici,MJ,Deputy Prime Minister and Minister for Justice,KDH,1,Mikuláš Dzurinda 2
2628,Economic and Financial Affairs,2004-12-07,2004-12-07,Vladimír Tvaroška,MF,State Secretary at the Ministry of Finance,SDKÚ,0,Mikuláš Dzurinda 2
2629,"Transport, Telecommunications and Energy",2004-12-09,2004-12-10,Pavol Prokopovič,MTPT,"Minister for Transport, Post and Telecommunications",SDKÚ,1,Mikuláš Dzurinda 2
2630,General Affairs,2004-12-13,2004-12-13,József Berényi,MFA,State Secretary at the Ministry of Foreign Affairs,SMK – MKP,0,Mikuláš Dzurinda 2
2631,External Relations,2004-12-13,2004-12-14,József Berényi,MFA,State Secretary at the Ministry of Foreign Affairs,SMK – MKP,0,Mikuláš Dzurinda 2
